Achternaam,Voornaam,Stud.Nr.,Vak1,Vak2,Vak3,Vak4,Vak5,
Curfs,Güven,27370083,Reflectie op de digitale cultuur,,,,,
Curvers,Everhard,17496687,Informatie- en organsatieontwerp,,,,,
Daams,Amélie,15249775,Heuristieken 2,Programmeren in Java 2,,,,
Dams,Gradus,66701209,Compilerbouw,Project Genetic Algorithms,,,,
Dane,Goos,41644639,Compilerbouw practicum,Project Genetic Algorithms,Zoeken, sturen en bewegen,,
de Boon,Manuël,46701583,Algoritmen en complexiteit,Calculus 2,Machine Learning,Programmeren in Java 2,Project Genetic Algorithms,
de Hoogh,Albertien,58565406,Software engineering,Technology for games,,,,
de Jongste,Kathryn,19214659,Interactie-ontwerp,Project Numerical Recipes,,,,
de Kanter,Anes,96082155,Moderne Databases,,,,,
de Kreij,Krijna,33946407,Zoeken, sturen en bewegen,,,,
de Kuijer,Farhad,63573738,Netwerken en systeembeveiliging,Project Numerical Recipes,,,,
de Leest,Janniek,66433883,Algoritmen en complexiteit,Programmeren in Java 2,,,,
de Leest,Wieke,90743504,Lineaire Algebra,,,,,
de Looff,Yana,3727435,Software engineering,,,,,
de Olde,Alexandre,16011419,Lineaire Algebra,,,,,
de Olde,Müslüm,3678531,Calculus 2,Programmeren in Java 2,,,,
de Smit,Ziggy,82968410,Heuristieken 2,,,,,
de Snoo,Ça?la,51673172,Compilerbouw practicum,Project Genetic Algorithms,,,,
de Vreeze,Marije,64393888,Collectieve Intelligentie,Programmeren in Java 2,,,,
de Zoete,Linne,39919665,Kansrekenen 2,,,,,
Deniz,Quido,93566383,Interactie-ontwerp,Lineaire Algebra,Programmeren in Java 2,,,
Diallo,Brigitta,50143947,Algoritmen en complexiteit,Collectieve Intelligentie,Compilerbouw practicum,Data Mining,Software engineering,
Dibbets,Boy,670011,Databases 2,Heuristieken 2,Lineaire Algebra,Programmeren in Java 2,,
Dielen,Marjory,65978354,Calculus 2,,,,,
Dieperink,Pietro,76487754,Technology for games,,,,,
Dieters,André,57467488,Algoritmen en complexiteit,Databases 2,Heuristieken 1,Netwerken en systeembeveiliging,,
Doedens,Kelly,47932106,Calculus 2,Databases 2,,,,
Doeve,Winfried,37419523,Project Numerical Recipes,,,,,
Donselaar,Oumaima,19958553,Informatie- en organsatieontwerp,,,,,
Doppenberg,Maruschka,53267490,Netwerken en systeembeveiliging,,,,,
Dröge,Siri,40911986,Project Numerical Recipes,,,,,
Droog,S?la,3168419,Advanced Heuristics,Bioinformatica,Databases 2,,,
Droste,Ko,26260141,Algoritmen en complexiteit,Calculus 2,Software engineering,,,
Duiveman,Doede,68315599,Compilerbouw,Informatie- en organsatieontwerp,Moderne Databases,Technology for games,Zoeken, sturen en bewegen
Dumoulin,Rintje,78822885,Analysemethoden en -technieken,,,,,
Eeltink,Brecht,75599734,Compilerbouw,Software engineering,,,,
Eggens,Wissal,4529208,Databases 2,Zoeken, sturen en bewegen,,,
Eggermont,Catharinus,31103066,Software engineering,,,,,
Eisinga,Mattie,59075181,Heuristieken 1,Kansrekenen 2,Netwerken en systeembeveiliging,,,
Eissens,Ludovicus,59544049,Bioinformatica,Kansrekenen 2,Software engineering,,,
Elberse,Pearl,59397895,Databases 2,,,,,
Elissen,Raven,33930505,Bioinformatica,Netwerken en systeembeveiliging,,,,
Elschot,Bauke,79033175,Compilerbouw,,,,,
Elschot,Geerten,31633723,Kansrekenen 2,Software engineering,,,,
Ensink,Dinah,7492204,Kansrekenen 2,Programmeren in Java 2,,,,
Essink,Hande,1181560,Moderne Databases,,,,,
Essink,Jaro,54772132,Compilerbouw,Netwerken en systeembeveiliging,Programmeren in Java 2,,,
Ester,Herwin,74131924,Autonomous Agents 2,Bioinformatica,Data Mining,,,
Fekkes,Jurrian,27298319,Algoritmen en complexiteit,Autonomous Agents 2,Calculus 2,Zoeken, sturen en bewegen,
Fennis,Nurcan,66621166,Moderne Databases,,,,,
Fleming,Antonius,65852230,Compilerbouw,,,,,
Florijn,Belle,14941752,Heuristieken 1,Project Numerical Recipes,,,,
Fokkens,Diemer,85335143,Analysemethoden en -technieken,Bioinformatica,Calculus 2,Moderne Databases,Technology for games,
Freriks,Ynze,37830626,Software engineering,,,,,
Geboers,Nordin,45414528,Data Mining,Programmeren in Java 2,,,,
Geelen,Bahattin,93041523,Technology for games,,,,,
Geers,Sohrab,87758823,Collectieve Intelligentie,Lineaire Algebra,Zoeken, sturen en bewegen,,
Geluk,Patric,67073567,Webprogrammeren en databases,,,,,
Gerritse,Eddy,18477924,Analysemethoden en -technieken,,,,,
Gielissen,Deacon,11915563,Autonomous Agents 2,Compilerbouw,Kansrekenen 2,Software engineering,,
Giesen,Richenel,14637758,Analysemethoden en -technieken,,,,,
Gijbels,Abdelkader,48308205,Compilerbouw,Lineaire Algebra,Project Numerical Recipes,Technology for games,,
Gilsing,Marco,49219163,Moderne Databases,,,,,
Gök,Maritte,78243495,Heuristieken 2,Moderne Databases,Software engineering,Webprogrammeren en databases,,
Goor,Rivelino,19337738,Data Mining,,,,,
Grift,Umar,70113753,Autonomous Agents 2,Programmeren in Java 2,,,,
Groote,Rijkje,4546613,Calculus 2,Interactie-ontwerp,Software engineering,,,
Grooteman,Ünal,7106649,Heuristieken 2,Technology for games,,,,
Grootenboer,Yalda,72895450,Algoritmen en complexiteit,Compilerbouw,Project Numerical Recipes,Webprogrammeren en databases,,
Haalboom,Faruk,13132925,Databases 2,,,,,
Haanstra,Jetty,53139134,Calculus 2,,,,,
Haarman,Gabe,77264363,Technology for games,,,,,
Haas,Eylem,58332004,Databases 2,Informatie- en organsatieontwerp,Kansrekenen 2,Moderne Databases,Programmeren in Java 2,
Hamelink,Virgill,51593625,Programmeren in Java 2,Software engineering,,,,
Hamers,Judi,14383795,Compilerbouw practicum,Technology for games,,,,
Hamhuis,Olle,51472074,Compilerbouw practicum,,,,,
Hamstra,Sahar,71839156,Compilerbouw practicum,Heuristieken 1,Lineaire Algebra,,,
Hartevelt,Ervin,20095994,Reflectie op de digitale cultuur,,,,,
Heijman,Berdina,14398123,Kansrekenen 2,Netwerken en systeembeveiliging,Project Genetic Algorithms,,,
Heijnen,Guus,6939933,Calculus 2,Project Numerical Recipes,,,,
Heikoop,Rosali,1048485,Netwerken en systeembeveiliging,Programmeren in Java 2,Software engineering,,,
Heller,Mahmud,99453514,Data Mining,Reflectie op de digitale cultuur,,,,
Hijdra,Sergio,38179241,Calculus 2,Interactie-ontwerp,,,,
Hilhorst,Bo,36508571,Autonomous Agents 2,Lineaire Algebra,,,,
Hoeksema,Dana,49683101,Architectuur en computerorganisatie,Compilerbouw,Machine Learning,,,
Hoenderdos,Sverre,58480929,Analysemethoden en -technieken,,,,,
Hofman,Anne-Jet,49908313,Webprogrammeren en databases,,,,,
Holstein,Johanne,535689,Compilerbouw practicum,Netwerken en systeembeveiliging,,,,
Holt,Nesrin,5526560,Databases 2,Project Genetic Algorithms,,,,
Holtkamp,Florus,34900967,Analysemethoden en -technieken,Programmeren in Java 2,,,,
Hoogerbrugge,Christal,43460038,Architectuur en computerorganisatie,Software engineering,Webprogrammeren en databases,,,
Hooijmaijers,Esmée,62356458,Autonomous Agents 2,Project Numerical Recipes,Software engineering,,,
Hooiveld,Michal,87314964,Data Mining,,,,,
Hoornstra,Catherine,10149535,Architectuur en computerorganisatie,Calculus 2,Lineaire Algebra,Technology for games,,
Horstink,Tea,2317551,Compilerbouw,Programmeren in Java 2,,,,
Hospers,Wichard,31416266,Collectieve Intelligentie,Lineaire Algebra,Programmeren in Java 2,,,
Huibers,Kyra,41790793,Webprogrammeren en databases,,,,,
Hunting,Paulette,5298748,Bioinformatica,Reflectie op de digitale cultuur,,,,
Hup,Ytje,87210640,Heuristieken 1,,,,,
IJkema,Frédéric,77376714,Algoritmen en complexiteit,Moderne Databases,Software engineering,,,
Imthorn,Marnik,88597745,Programmeren in Java 2,Zoeken, sturen en bewegen,,,
Jackson,Geartsje,45660925,Heuristieken 1,,,,,
Jacob,Rino,91139627,Kansrekenen 2,,,,,
Jagersma,Faya,73823548,Calculus 2,Databases 2,Project Numerical Recipes,,,
Jak,Paulo,54540997,Databases 2,,,,,
Jama,Owen,28359697,Bioinformatica,Zoeken, sturen en bewegen,,,
Janga,Le,84524083,Compilerbouw,Heuristieken 2,Kansrekenen 2,Reflectie op de digitale cultuur,,
Jankie,Kyan,66122625,Data Mining,Heuristieken 1,,,,
Jansema,Nikolas,21192048,Technology for games,,,,,
Jongbloed,Tamar,94467156,Kansrekenen 2,Machine Learning,Programmeren in Java 2,Project Genetic Algorithms,Software engineering,
Jongejan,Jenske,15902055,Algoritmen en complexiteit,Calculus 2,Collectieve Intelligentie,Programmeren in Java 2,,
Jonkergouw,Aradhna,92496780,Technology for games,,,,,
Joris,Gerritjan,75585647,Calculus 2,Informatie- en organsatieontwerp,,,,
Joseph,Maïssae,80709893,Lineaire Algebra,Software engineering,,,,
Kalpoe,Miko,10702778,Programmeren in Java 2,,,,,
Kalshoven,Chrystel,38499176,Compilerbouw practicum,Kansrekenen 2,Lineaire Algebra,Netwerken en systeembeveiliging,Programmeren in Java 2,
Kamp,Yaro,6249823,Technology for games,Webprogrammeren en databases,,,,
Kampers,Riana,92778619,Programmeren in Java 2,Reflectie op de digitale cultuur,Zoeken, sturen en bewegen,,
Kant,Juliëtte,75005528,Databases 2,Lineaire Algebra,Project Numerical Recipes,,,
Karim,Esmé,3685034,Kansrekenen 2,Machine Learning,Project Numerical Recipes,Reflectie op de digitale cultuur,,
Keijser,Devon,69634191,Interactie-ontwerp,,,,,
Kemps,Enya,58083680,Databases 2,,,,,
Kentie,Ceciel,33776961,Moderne Databases,Programmeren in Java 2,Reflectie op de digitale cultuur,,,
Kersten,Thys,11459236,Compilerbouw practicum,Informatie- en organsatieontwerp,,,,
Kesteloo,Kimmy,34773179,Collectieve Intelligentie,Project Genetic Algorithms,,,,
Keuken,Lysbeth,1766560,Compilerbouw,Moderne Databases,Project Numerical Recipes,,,
Kienhuis,Rahim,99272880,Compilerbouw practicum,Kansrekenen 2,Programmeren in Java 2,,,
Kivits,Sezen,59887191,Netwerken en systeembeveiliging,Zoeken, sturen en bewegen,,,
Klarenbeek,Ylse,62701040,Collectieve Intelligentie,Informatie- en organsatieontwerp,Programmeren in Java 2,,,
Klop,Adil,58040377,Calculus 2,Heuristieken 2,Programmeren in Java 2,,,
Knibbe,Danique,16097870,Analysemethoden en -technieken,Autonomous Agents 2,Calculus 2,Heuristieken 2,Lineaire Algebra,
Knuiman,George,43689934,Compilerbouw,,,,,
Koelemij,Evelyn,10792879,Calculus 2,Compilerbouw,Kansrekenen 2,,,
Kol,Djura,43680781,Bioinformatica,Moderne Databases,Reflectie op de digitale cultuur,Technology for games,,
Koning,Matz,48601268,Collectieve Intelligentie,Software engineering,,,,
Kooijmans,Nuriye,75997788,Advanced Heuristics,Analysemethoden en -technieken,Calculus 2,Heuristieken 1,Moderne Databases,
Kooyman,Thijn,88855695,Calculus 2,Compilerbouw,,,,
Koppers,Yee,81155296,Calculus 2,Interactie-ontwerp,,,,
Kops,Eveline,47260040,Compilerbouw practicum,,,,,
Korbee,Titia,86291592,Collectieve Intelligentie,Compilerbouw,Netwerken en systeembeveiliging,Programmeren in Java 2,Project Numerical Recipes,
Korpershoek,Djuri,27241113,Moderne Databases,,,,,
Korte,Gineke,13798030,Architectuur en computerorganisatie,,,,,
Kortlever,Sharen,51542218,Analysemethoden en -technieken,Databases 2,Kansrekenen 2,,,
Kost,Remon,87900893,Calculus 2,Data Mining,,,,
Koudijs,Cherissa,96118484,Lineaire Algebra,,,,,
Krabbe,Fynn,21677389,Interactie-ontwerp,Netwerken en systeembeveiliging,,,,
Kreijkes,Nikie,34588570,Lineaire Algebra,,,,,
Krikke,Do?ukan,1695839,Compilerbouw practicum,,,,,
Kroonen,Corry,247918,Bioinformatica,Databases 2,,,,
Kropman,Ngoc,38329455,Kansrekenen 2,,,,,
Kros,Vincent,22699561,Collectieve Intelligentie,,,,,
Kuijpers,Resul,54026378,Autonomous Agents 2,Bioinformatica,Software engineering,,,
Kwantes,Machteld,97417002,Heuristieken 1,,,,,
Kwee,Esperanza,79366078,Kansrekenen 2,,,,,
Lagendijk,Nadeem,78735049,Calculus 2,Kansrekenen 2,,,,
Laman,Christianus,14303208,Calculus 2,Compilerbouw practicum,Webprogrammeren en databases,,,
Lamme,Mathyn,31897288,Heuristieken 1,Heuristieken 2,,,,
Lantinga,Buck,23547619,Advanced Heuristics,Collectieve Intelligentie,Interactie-ontwerp,Technology for games,Zoeken, sturen en bewegen
Lathouwers,Hanan,11068043,Bioinformatica,Compilerbouw practicum,Project Numerical Recipes,Software engineering,,
Lathouwers,Mouna,29526540,Bioinformatica,Databases 2,Moderne Databases,,,
Lau,Yvan,79937969,Lineaire Algebra,,,,,
Laurijssen,Seyed,62613937,Advanced Heuristics,Analysemethoden en -technieken,,,,
Leemburg,Mellisa,47477884,Advanced Heuristics,Calculus 2,Databases 2,Programmeren in Java 2,,
Leidelmeijer,Rein,36527838,Lineaire Algebra,Moderne Databases,Zoeken, sturen en bewegen,,
Leijen,Björn,3233378,Collectieve Intelligentie,Software engineering,,,,
Leijenaar,Jory,25994016,Compilerbouw practicum,Project Genetic Algorithms,,,,
Lemaire,Haroun,44868097,Bioinformatica,Calculus 2,Software engineering,,,
Lems,Nadège,77960666,Databases 2,Programmeren in Java 2,Reflectie op de digitale cultuur,,,
Lentz,Sanne,40434933,Architectuur en computerorganisatie,Databases 2,Technology for games,Webprogrammeren en databases,,
Levels,Federico,13911001,Compilerbouw,Compilerbouw practicum,Moderne Databases,,,
Liebregts,Chi,88596522,Algoritmen en complexiteit,Compilerbouw practicum,,,,
Lima,Maurice,74361881,Compilerbouw practicum,Project Genetic Algorithms,,,,
Lindhout,Hetty,1696500,Collectieve Intelligentie,Heuristieken 1,Netwerken en systeembeveiliging,,,
Loeffen,Dingenus,16912993,Netwerken en systeembeveiliging,,,,,
Lohuis,Wannes,76802764,Compilerbouw,,,,,
Looij,Malcolm,56872729,Calculus 2,Databases 2,Lineaire Algebra,,,
Lopez,Fredrika,21095566,Algoritmen en complexiteit,Software engineering,,,,
Lugthart,Sherwin,77306636,Calculus 2,,,,,
Luten,Yi,63634350,Calculus 2,Compilerbouw practicum,Heuristieken 2,Kansrekenen 2,Programmeren in Java 2,
Luth,Mathé,97838175,Analysemethoden en -technieken,Zoeken, sturen en bewegen,,,
Machielsen,Pim,51186803,Kansrekenen 2,,,,,
Majoor,Valéry,58522654,Bioinformatica,Collectieve Intelligentie,Compilerbouw,Kansrekenen 2,,
Malestein,Dorenda,42115591,Analysemethoden en -technieken,Kansrekenen 2,Lineaire Algebra,Software engineering,,
Melis,Noelle,55480737,Project Genetic Algorithms,,,,,
Menke,Noud,44391517,Compilerbouw,Programmeren in Java 2,Zoeken, sturen en bewegen,,
Metselaar,Bodie,24613625,Bioinformatica,Compilerbouw,Project Genetic Algorithms,,,
Metzelaar,Miquel,86000192,Calculus 2,Collectieve Intelligentie,Programmeren in Java 2,,,
Meulmeester,Roan,68409833,Autonomous Agents 2,Lineaire Algebra,Project Genetic Algorithms,Software engineering,,
Middel,Myron,72683344,Advanced Heuristics,Architectuur en computerorganisatie,,,,
Miedema,Maron,99283252,Moderne Databases,Project Genetic Algorithms,Software engineering,,,
Mijnheer,Marcellus,4783858,Calculus 2,Collectieve Intelligentie,Heuristieken 1,Software engineering,,
Milder,Eyup,75623387,Calculus 2,,,,,
Milder,Oliver,27925117,Architectuur en computerorganisatie,Calculus 2,Heuristieken 2,Project Genetic Algorithms,,
Modderkolk,Jo-Anne,56749879,Bioinformatica,Databases 2,Heuristieken 1,Kansrekenen 2,Programmeren in Java 2,
Modderkolk,Jorren,72577292,Advanced Heuristics,Architectuur en computerorganisatie,Collectieve Intelligentie,Webprogrammeren en databases,,
Moes,Lisse,53585410,Algoritmen en complexiteit,Calculus 2,Compilerbouw practicum,Programmeren in Java 2,,
Moeskops,Antonetta,26857113,Machine Learning,Programmeren in Java 2,,,,
Mok,Lamia,84110134,Kansrekenen 2,Project Numerical Recipes,Software engineering,,,
Mol,Sonny,44671041,Programmeren in Java 2,Software engineering,,,,
Mullenders,Shannon,54310617,Collectieve Intelligentie,Kansrekenen 2,,,,
Munsters,Doetje,10872825,Kansrekenen 2,,,,,
Mutsaers,Callista,64418623,Compilerbouw practicum,,,,,
Nagel,Claudine,63096281,Programmeren in Java 2,,,,,
Neve,Fauve,70336464,Technology for games,,,,,
Nieman,Randell,4697362,Technology for games,,,,,
Nieuwenhuizen,Jurrit,1137946,Webprogrammeren en databases,,,,,
Niezen,Inas,67817269,Algoritmen en complexiteit,,,,,
Nijs,Vesna,51650744,Moderne Databases,,,,,
Noordhuis,Harry,72586808,Analysemethoden en -technieken,Netwerken en systeembeveiliging,,,,
Noordzij,Juliët,46570285,Calculus 2,Kansrekenen 2,Moderne Databases,,,
Noot,Henricus,88519892,Programmeren in Java 2,,,,,
Notermans,Inger,13092455,Collectieve Intelligentie,Databases 2,Project Numerical Recipes,Reflectie op de digitale cultuur,,
Nuiten,Geurt,61060652,Heuristieken 1,Lineaire Algebra,Software engineering,,,
Numan,Lee,40141996,Calculus 2,Databases 2,,,,
Odijk,Rieke,30658799,Compilerbouw,Moderne Databases,,,,
Okkerse,Seb,90067329,Machine Learning,,,,,
Ooijen,Steijn,86180471,Calculus 2,Databases 2,Project Genetic Algorithms,,,
Oosterbeek,Rins,13116738,Data Mining,Informatie- en organsatieontwerp,Zoeken, sturen en bewegen,,
Oosterbroek,Lilly,13210212,Zoeken, sturen en bewegen,,,,
Oostvogels,Romaisa,22731474,Bioinformatica,Heuristieken 2,Kansrekenen 2,Project Numerical Recipes,,
Overbeeke,Casimir,17575088,Collectieve Intelligentie,,,,,
Paauwe,Shakir,30195935,Bioinformatica,Netwerken en systeembeveiliging,,,,
Paijmans,Redouane,75664412,Compilerbouw,Netwerken en systeembeveiliging,Technology for games,,,
Panman,Loulou,79888156,Calculus 2,,,,,
Pastoor,Farah,3407554,Compilerbouw,Compilerbouw practicum,,,,
Pater,Vincentius,34765676,Algoritmen en complexiteit,Heuristieken 2,Interactie-ontwerp,,,
Paulissen,Solane,1665980,Algoritmen en complexiteit,Collectieve Intelligentie,Compilerbouw practicum,,,
Peijs,Xander,96104167,Collectieve Intelligentie,,,,,
Pelders,Heba,75680261,Project Genetic Algorithms,,,,,
Pereira,Luca,23798155,Analysemethoden en -technieken,Architectuur en computerorganisatie,Kansrekenen 2,Machine Learning,,
Philippi,Ilana,58866007,Architectuur en computerorganisatie,Lineaire Algebra,,,,
Philips,Kaoutar,20883994,Advanced Heuristics,Bioinformatica,Kansrekenen 2,,,
Piek,Rémy,5976174,Algoritmen en complexiteit,Heuristieken 2,Machine Learning,Software engineering,,
Plaizier,Wijntje,85284256,Netwerken en systeembeveiliging,Programmeren in Java 2,,,,
Planken,Giedo,47605891,Kansrekenen 2,,,,,
Plasman,Nathanaël,2416751,Programmeren in Java 2,Webprogrammeren en databases,,,,
Pleiter,Matthijs,77240949,Collectieve Intelligentie,Kansrekenen 2,Machine Learning,,,
Poepjes,Zahir,31247305,Kansrekenen 2,Netwerken en systeembeveiliging,Software engineering,,,
Poldervaart,Gustaaf,58253841,Calculus 2,Project Genetic Algorithms,Zoeken, sturen en bewegen,,
Polfliet,Rafaela,72665524,Advanced Heuristics,Calculus 2,Compilerbouw practicum,Netwerken en systeembeveiliging,,
Popma,Stephano,34872117,Architectuur en computerorganisatie,Compilerbouw,Databases 2,,,
Postuma,Timo,36903574,Algoritmen en complexiteit,Heuristieken 1,Kansrekenen 2,Netwerken en systeembeveiliging,Programmeren in Java 2,
Potgieter,Desireé,64947290,Algoritmen en complexiteit,Databases 2,Programmeren in Java 2,,,
Pothuizen,Aart,27950803,Compilerbouw,Project Genetic Algorithms,Reflectie op de digitale cultuur,Software engineering,,
Pothuizen,Mink,85236626,Heuristieken 2,Machine Learning,Programmeren in Java 2,,,
Potman,Genesis,123355,Netwerken en systeembeveiliging,,,,,
Prevoo,Hendrik-Jan,27805666,Reflectie op de digitale cultuur,,,,,
Prinssen,Annigje,3883025,Moderne Databases,Netwerken en systeembeveiliging,,,,
Pruijmboom,Javier,82412626,Calculus 2,,,,,
Putters,André,37110913,Autonomous Agents 2,Data Mining,Heuristieken 1,Reflectie op de digitale cultuur,Technology for games,
Putters,Luciana,61611295,Autonomous Agents 2,,,,,
Quik,Semiha,32044893,Project Numerical Recipes,Reflectie op de digitale cultuur,,,,
